prompt,option_a,option_b,option_c,option_d,correct_index,explanation,subject,difficulty,age_band,exam_type,topic
"Who created the heavens and the earth?",Moses,God,Abraham,David,1,"Genesis 1:1 teaches that God created the heavens and the earth.",bible,easy,6-8,casual,creation
"Who was the first man God created?",Noah,Adam,Abraham,Isaac,1,"Adam was the first man created by God.",bible,easy,6-8,casual,creation
"Who was the first woman?",Sarah,Eve,Ruth,Mary,1,"Eve was the first woman and was created by God for Adam.",bible,easy,6-8,casual,creation
"How many days did God take to create the world before resting?",5,6,7,8,1,"God created the world in six days and rested on the seventh day.",bible,easy,6-8,casual,creation
"Who built the ark?",Abraham,David,Noah,Moses,2,"Noah built the ark according to God's instructions.",bible,easy,6-8,casual,noah
"What sign did God give after the flood as a promise?",A star,A rainbow,A cloud,A mountain,1,"God placed a rainbow in the clouds as a sign of His covenant with Noah.",bible,easy,6-8,casual,noah
"Who was swallowed by a great fish?",Jonah,Peter,Paul,Joseph,0,"Jonah was swallowed by a great fish after fleeing from God's instruction.",bible,easy,6-8,casual,jonah
"Who led the Israelites out of Egypt?",Joshua,Moses,Samuel,David,1,"Moses led the Israelites out of slavery in Egypt.",bible,easy,6-8,casual,moses
"What did Moses receive from God on Mount Sinai?",The Ten Commandments,A crown,A sword,A golden cup,0,"God gave Moses the Ten Commandments on Mount Sinai.",bible,easy,6-8,casual,ten-commandments
"What sea did God part for the Israelites to cross?",Dead Sea,Red Sea,Mediterranean Sea,Galilee Sea,1,"God parted the Red Sea so the Israelites could cross on dry ground.",bible,easy,6-8,casual,exodus
"Who was the strongest man mentioned in the Bible?",Samson,Solomon,Saul,Daniel,0,"Samson was famous for his extraordinary strength, which was connected to his Nazirite vow.",bible,easy,6-8,casual,samson
"Who defeated Goliath?",Saul,David,Jonathan,Samuel,1,"David defeated the giant Goliath with a sling and a stone.",bible,easy,6-8,casual,david
"What did David use to defeat Goliath?",A sword,A spear,A sling and a stone,A bow and arrow,2,"David used a sling and a stone to defeat Goliath.",bible,easy,6-8,casual,david-and-goliath
"Who was known for his great wisdom?",David,Solomon,Samson,Joshua,1,"King Solomon was famous for the great wisdom God gave him.",bible,easy,6-8,casual,solomon
